,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos.1,Awards
0,1,Poindexter Williams,27,C,2.1,69,257,242,28,81,14,7,6,49,4,15,.335,.374,.525,.898,139,.397,134,127,2/35,
1,2,Mule Suttles,24,1B,2.1,68,272,242,45,80,6,5,10,59,5,30,.331,.404,.521,.925,147,.412,143,126,*3/7859,
2,3,Geechie Meredith,25,2B,-0.9,70,274,261,35,55,7,4,0,22,10,13,.211,.248,.268,.516,39,.244,39,70,*4/625,
3,4,Grady Orange,25,SS,-0.9,53,186,179,13,35,4,1,0,15,1,7,.196,.226,.229,.455,23,.213,23,41,6/49,
4,5,Felton Stratton,29,3B,0.2,57,244,239,39,66,11,4,1,26,6,5,.276,.291,.368,.659,76,.297,74,88,5/46,
5,6,Charlie Blackwell*,30,LF,1.6,65,292,260,62,79,10,4,8,44,10,32,.304,.380,.465,.846,126,.383,125,121,*79,
6,7,Sandy Thompson*,30,CF,1.6,67,275,260,48,88,11,7,3,42,9,15,.338,.375,.469,.844,125,.380,123,122,*8/59,
7,8,Ruben Jones*,31,RF,0.3,76,312,298,40,85,11,8,2,46,8,14,.285,.317,.396,.713,90,.322,89,118,*97/841,
8,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
9,9,Saul Davis,24,SS,0.6,41,121,116,14,38,3,1,2,16,6,5,.328,.355,.422,.778,108,.358,107,49,6/1375894,
10,10,Wilson Joseph,27,IF,-0.7,40,107,104,10,18,3,0,1,6,1,3,.173,.196,.231,.427,14,.196,13,24,56/43,
11,11,John Pardee,,C,-0.3,12,42,39,4,7,0,0,0,4,1,3,.179,.238,.179,.418,14,.207,20,7,2,
12,12,Herman Roth,29,C,0.0,4,14,14,1,4,0,0,0,3,0,0,.286,.286,.286,.571,54,.265,54,4,/2,
13,13,Jesse Edwards,,IF,-0.2,5,13,11,0,0,0,0,0,0,0,2,.000,.154,.000,.154,-55,.115,-36,0,/4579,
14,14,LeRoy Taylor*,22,,0.0,3,12,12,1,4,0,0,0,1,0,0,.333,.333,.333,.667,80,.309,80,4,/8,
15,15,Bunk Henderson,,C,-0.2,5,12,12,0,1,0,0,0,0,0,0,.083,.083,.083,.167,-55,.077,-58,1,/2,
16,16,Pythias Russ,21,1B,-0.1,3,11,11,0,2,0,0,0,0,0,0,.182,.182,.182,.364,-2,.169,-3,2,/3,
17,17,Eppie Hamilton,25,C,0.0,3,6,6,0,2,0,0,0,0,0,0,.333,.333,.333,.667,80,.309,81,2,/279,
18,18,Clyde Horne,,2B,-0.2,1,6,6,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-106,0,/4,
19,19,Edward Salters,,1B,0.1,1,5,4,1,2,0,0,0,1,0,1,.500,.600,.500,1.100,199,.520,207,2,/3,
20,20,Arthur Jones,,SS,0.0,4,5,4,1,1,0,0,0,0,0,1,.250,.400,.250,.650,79,.335,96,1,/6,
21,Rk,Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Awards
22,21,Robert Poindexter,27,P,0.0,42,96,93,11,22,3,0,0,6,0,3,.237,.260,.269,.529,42,.247,43,25,1/37,
23,22,Sam Crawford,33,P,-0.5,35,75,72,7,10,1,0,0,2,0,3,.139,.173,.153,.326,-12,.158,-10,11,1,
24,23,Harry Salmon*,30,P,-0.2,20,54,53,7,9,2,0,0,1,0,1,.170,.185,.208,.393,5,.182,4,11,1/7,
25,24,Charlie Beverly*,25,P,0.1,30,53,51,6,11,3,0,0,7,0,2,.216,.245,.275,.520,39,.241,40,14,1,
26,25,Fred Daniels,32,P,-0.1,10,17,16,2,3,1,0,0,1,0,1,.188,.235,.250,.485,30,.229,32,4,/17,
27,26,John Finner,39,P,-0.2,6,11,10,0,0,0,0,0,0,0,1,.000,.091,.000,.091,-73,.068,-64,0,/1,
28,27,Lefty Robinson,34,P,0.1,10,10,10,0,3,1,0,0,1,0,0,.300,.300,.400,.700,86,.314,84,4,1,
29,28,Frank Stevens,,P,0.0,8,9,9,0,2,1,0,0,1,0,0,.222,.222,.333,.556,47,.246,43,3,/1,
30,29,Square Moore,24,P,0.0,3,6,6,0,1,0,0,0,0,0,0,.167,.167,.167,.333,-10,.155,-13,1,/1,
31,30,Sam Streeter,24,P,-0.1,3,5,5,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,.000,-106,0,/1,
32,31,Bill Foster#,21,P,0.1,1,3,2,1,1,0,1,0,0,0,1,.500,.667,1.500,2.167,465,.783,364,3,/1,
33,,Team Totals,,,4.2,76,2805,2647,376,710,92,42,33,353,61,158,.268,.309,.372,.682,82,.311,82,985,,
34,,Non-Pitcher Totals,,,5.0,,2466,2320,342,648,80,41,33,334,61,146,.279,.322,.392,.714,91,.325,90,909,,
35,,Pitcher Totals,,,-0.8,,339,327,34,62,12,1,0,19,0,12,.190,.218,.232,.451,21,.211,21,76,,
