Player,Age,Pos,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,IBB,Bats
Ed Young,28,1B,0.3,16,63,58,8,16,2,1,0,10,0,4,0.276,0.333,0.345,0.678,104.0,0.328,104.0,20,0,1,0,0,Right
Oscar Boone,30,C,0.1,9,31,30,4,11,1,0,0,5,0,1,0.367,0.387,0.4,0.787,137.0,0.376,134.0,12,0,0,0,0,Right
Willie Hudson*,23,UT,0.3,12,35,31,4,10,1,1,1,4,1,3,0.323,0.382,0.516,0.898,169.0,0.411,159.0,16,0,0,1,1,Left
Tice James,26,SS,-0.2,9,35,32,1,5,1,1,0,3,0,1,0.156,0.206,0.25,0.456,37.0,0.221,35.0,8,0,1,1,0,Right
Curtis Henderson,29,3B,0.1,13,48,44,4,9,1,1,0,3,3,4,0.205,0.271,0.273,0.544,64.0,0.274,66.0,12,0,0,0,0,Right
Jimmie Crutchfield*,31,CF,-0.1,16,71,69,7,18,1,1,0,3,4,2,0.261,0.282,0.304,0.586,76.0,0.288,75.0,21,0,0,0,0,Left
Billy Horne,25,2B,-0.2,16,56,50,4,7,1,0,0,3,0,5,0.14,0.218,0.16,0.378,14.0,0.197,21.0,8,0,0,1,0,Right
Willie Cornelius,34,P,0.3,9,21,17,1,6,0,0,0,3,0,2,0.353,0.421,0.353,0.774,133.0,0.38,140.0,6,0,0,2,0,Right
Pepper Bassett#,30,C,0.0,10,31,28,1,6,0,0,0,2,0,2,0.214,0.267,0.214,0.481,45.0,0.241,48.0,6,0,0,1,0,Both
Donald Reeves*,29,RF,-0.3,7,22,21,2,3,0,0,0,1,0,1,0.143,0.182,0.143,0.325,-2.0,0.164,2.0,3,1,0,0,0,Left
Art Pennington#,18,LF,-0.5,11,47,42,3,7,0,0,0,1,1,4,0.167,0.239,0.167,0.406,23.0,0.21,29.0,7,0,0,1,0,Both
Bonnie Serrell*,21,OF,-0.1,2,9,9,2,2,0,0,0,1,0,0,0.222,0.222,0.222,0.444,34.0,0.212,32.0,2,0,0,0,0,Left
John Lyles#,29,SS,0.2,5,21,20,3,5,0,0,1,1,0,1,0.25,0.286,0.4,0.686,105.0,0.325,102.0,8,0,0,0,0,Both
Archie Ware*,23,1B,-0.1,1,5,5,1,1,0,0,0,1,0,0,0.2,0.2,0.2,0.4,20.0,0.191,19.0,1,0,0,0,0,Left
Willie Ferrell,27,P,0.0,5,13,13,0,2,0,0,0,1,0,0,0.154,0.154,0.154,0.308,-7.0,0.147,-9.0,2,0,0,0,0,Right
Henry Merchant*,23,OF,0.1,8,16,13,1,3,1,0,0,0,0,3,0.231,0.375,0.308,0.683,106.0,0.344,114.0,4,0,0,0,0,Left
Ted Gipson,33,UT,-0.1,9,17,17,0,4,0,0,0,0,0,0,0.235,0.235,0.235,0.471,42.0,0.225,40.0,4,0,0,0,0,Right
Alex Radcliff,35,3B,0.1,2,8,6,1,2,1,0,0,0,0,1,0.333,0.429,0.5,0.929,179.0,0.438,184.0,3,0,0,1,0,Right
Ralph Wyatt,23,IF,-0.1,2,9,9,0,2,0,0,0,0,0,0,0.222,0.222,0.222,0.444,34.0,0.212,32.0,2,0,0,0,0,Right
Clyde Spearman*,28,OF,0.1,3,13,13,2,5,0,0,0,0,0,0,0.385,0.385,0.385,0.769,131.0,0.368,129.0,5,0,0,0,0,Left
Bill Bradford*,27,2B,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-92.0,0,0,0,0,0,Left
Gentry Jessup,26,P,0.0,4,5,4,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,50.0,0.239,35.0,1,0,0,1,0,Right
Charlie Shields*,18,P,0.0,2,2,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-292.0,0,0,0,1,0,Left
Ted Alexander,28,P,0.0,3,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-104.0,0,0,0,0,0,Right
Verdell Mathis*,27,P,0.0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0.0,-92.0,0,0,0,0,0,Left
